chart_id,slug,title,subtitle_describes_the_line,last_archive_before_migration
2426,value-added-vs-share-of-emissions-germany,Contribution to value added vs. share of CO₂ emissions in Germany,1,20260306-181537
2427,value-added-growth-vs-emissions-growth-china,Value added growth vs. CO₂ emissions growth in China,0,20260306-181537
2428,value-added-growth-vs-emissions-growth-usa,Value added growth vs. CO₂ emissions growth in the USA,0,20260306-181537
2429,value-added-growth-vs-emissions-growth-germany,Value added growth vs. CO₂ emissions growth in Germany,0,20260306-181537
2447,share-with-mental-health-males-vs-females,"Share of people with mental health disorders, males vs. females",0,20260402-163007
2455,alcohol-or-drug-use-disorders-male-vs-female,"Share with alcohol or drug use disorders, men vs. women",0,20260402-163007
2477,alcohol-consumption-by-15-19-year-old-males-vs-females,Average alcohol consumption by 15-19 year old males vs. females,0,20260402-163007
2507,knowledge-hiv-prevention-in-males-vs-females,"Share of young people with knowledge on HIV prevention, men vs. women",0,20260402-163007
2521,employment-to-population-ratio-men-vs-women,"Employment rate, men vs. women",0,20260402-163007
2524,household-vs-outdoor-air-pollution-death-rates,Indoor air pollution vs. outdoor air pollution death rate,0,20260325-171315
2529,new-cases-of-hiv-unaids-vs-ihme,"New cases of HIV per 1,000 individuals, UNAIDS vs. IHME",0,20260402-163007
2597,capital-intensity-vs-labor-productivity,Capital intensity vs. labor productivity,0,20260402-163007
2606,depressive-disorders-prevalence-ihme-vs-who,"Depressive disorders prevalence, IHME vs. WHO",0,20260402-163007
2620,share-with-alcohol-vs-drug-use-disorder,Share of population with alcohol use disorder vs. drug use disorder,0,20260402-163007
2643,loan-from-a-financial-institution-poorest-40-vs-richest-60,"Loan from a financial institution, poorest 40% vs. richest 60%",0,20260304-094028
2644,share-of-adults-borrowing-from-a-financial-institution-vs-family-or-friends,Share of adults borrowing from a financial institution vs. family or friends,0,20260304-094028
2664,augmented-human-development-index-comparison,Augmented Human Development Index: with vs. without income metric,0,20260402-163007
2705,literacy-rate-adult-total-dhs-surveys-vs-unesco,"Literacy rates, survey estimates vs. official UNESCO estimates",0,20260402-163007
2736,prevalence-of-stunting-male-vs-female,"Malnutrition: Prevalence of childhood stunting, male vs. female",0,20260402-163007
2775,children-aged-5-17-years-engaged-in-labor,Share of children engaged in labor by gender,0,20260325-171315
2946,mortality-from-ncds-gender,"Expected chances of death from non-communicable diseases, by gender",0,20260402-163007
3044,homicide-rate-ihme-vs-unodc,"Homicide rate, UNODC vs. IHME",0,20260402-164039
3133,hci-males-vs-females,Human Capital Index in males vs. females,0,20260402-163007
3163,death-rate-from-outdoor-air-pollution-in-1990-vs-2023,Death rate from outdoor air pollution in 1990 vs. 2023,1,20260402-163007
3185,share-co2-emissions-vs-population,Share of global CO₂ emissions vs. share of population,0,20260402-163007
3186,consumption-co2-emissions-vs-population,Share of global consumption-based CO₂ emissions vs. share of population,0,20260402-163007
3187,consumption-vs-production-co2-per-capita,Consumption-based vs. territorial CO₂ emissions per capita,1,20260402-173937
3350,infant-death-rates-by-cause-by-sex,Global infant mortality by cause for boys vs. girls,1,20260319-180137
3354,sex-ratio-at-birth-vs-five-years-old,Sex ratio at birth vs. at five years old,1,20260402-161824
3435,mean-height-males-vs-females,"Mean adult height by year of birth, males vs. females",0,20260325-171315
3437,increase-male-vs-female-height,Percentage increase in mean male vs. female height over a century,0,20260325-171315
3449,human-development-index-vs-mean-male-height,Human Development Index vs. mean male height,0,20260402-163007
3517,average-schooling-vs-expected-schooling,Average years of schooling vs. expected years of schooling,0,20260402-163007
3583,lung-cancer-deaths-men-women,Lung cancer death rate in men vs. women,0,20260325-171315
3584,share-of-overweight-men-vs-women,Share of overweight men vs. women,0,20260325-171315
3617,diphtheria-tetanus-pertussis-vaccine-vs-pneumococcal-vaccine-coverage,Pneumococcal vaccine vs. diphtheria-tetanus-pertussis vaccine coverage,0,20260402-164039
3761,number-of-deaths-from-indoor-air-pollution-1990-vs-2023,"Number of deaths from indoor air pollution, 1990 vs. 2023",0,20260325-171315
3762,death-rate-from-indoor-air-pollution-in-1990-vs-2023,Death rate from indoor air pollution in 1990 vs. 2023,0,20260325-171315
3771,homicide-rate-1990-vs-2020,Homicide rate in 1990 vs. 2020,1,20260402-164039
3775,smoking-death-rate-in-1990-vs-2023,Smoking death rate in 1990 vs. 2023,0,20260325-171315
3777,adults-smoking-2007-2018,Share of adults who smoke or use other tobacco in 2000 vs. 2022,0,20260402-164039
3794,suicide-rate-in-1980-vs-2023,Suicide rate in 1980 vs. 2023,0,20260402-163007
3803,outdoor-air-pollution-deaths-in-1990-vs-2023,Outdoor air pollution deaths in 1990 vs. 2023,1,20260325-171315
3804,pm-exposure-1990-2017,Particulate matter exposure in 1990 vs. 2017,0,20260325-171315
4337,per-capita-ghg-co2-excluding-land-use,Per capita GHG emissions vs. per capita CO₂ emissions,0,20260402-164039
4338,per-capita-ghg-co2-including-land-use,Per capita GHG emissions vs. per capita CO₂ emissions,0,20260402-164039
4671,domestic-forest-change-vs-imported-deforestation,Change in domestic forest area vs. deforestation embedded in imported goods,0,20260325-171315
5087,nitrogen-output-vs-nitrogen-input-to-agriculture,Nitrogen output vs. nitrogen input to agriculture,0,20260325-171315
5252,deaths-attributed-to-household-air-pollution-vs-deaths-attributed-to-ambient-air-pollution,Deaths attributed to household air pollution vs. deaths attributed to ambient air pollution,0,20260402-163007
5276,population-subjected-to-physical-violence,"Share of the population subjected to physical violence, male vs. female",0,20260402-163007
6339,male-vs-female-suicide-who,Male vs. female suicide rate,0,20260402-163007
6425,share-or-agricultural-population-with-land-ownership-rights-by-sex,"Share of agricultural population with land rights, by sex",0,20260402-163007
6437,share-of-individuals-who-own-a-mobile-telephone-by-sex,"Share of people who own a mobile phone, by sex",0,20260325-171315
6438,suicide-rate-2000-2019-who,Suicide rate in 2000 vs. 2021,0,20260402-163007
