slug,title,successor,archive
abs-change-energy-consumption,Absolute annual change in primary energy consumption,/grapher/energy-mix?source=total&metric=annual_change,https://archive.ourworldindata.org/20260727-131016/grapher/abs-change-energy-consumption.html
annual-change-hydro,Annual change in hydropower generation,/grapher/energy-mix?source=hydro&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-hydro.html
annual-change-in-solar-and-wind-energy-generation,Annual change in solar and wind energy generation,/grapher/energy-mix?source=solar_and_wind&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-in-solar-and-wind-energy-generation.html
annual-change-low-carbon-energy,Annual change in low-carbon energy generation,/grapher/energy-mix?source=low_carbon_energy&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-low-carbon-energy.html
annual-change-nuclear,Annual change in nuclear energy generation,/grapher/energy-mix?source=nuclear&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-nuclear.html
annual-change-primary-energy-source,Year-to-year change in primary energy consumption by source,/grapher/annual-change-primary-energy-by-source,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-primary-energy-source.html
annual-change-renewables,Annual change in renewable energy generation,/grapher/energy-mix?source=renewables&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-renewables.html
annual-change-solar,Annual change in solar energy generation,/grapher/energy-mix?source=solar&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-solar.html
annual-change-wind,Annual change in wind energy generation,/grapher/energy-mix?source=wind&metric=annual_change,https://archive.ourworldindata.org/20260727-182932/grapher/annual-change-wind.html
annual-percentage-change-hydro,Annual percentage change in hydropower generation,/grapher/energy-mix?source=hydro&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-hydro.html
annual-percentage-change-in-solar-and-wind-energy-generation,Annual percentage change in solar and wind energy generation,/grapher/energy-mix?source=solar_and_wind&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-in-solar-and-wind-energy-generation.html
annual-percentage-change-low-carbon,Annual percentage change in low-carbon energy generation,/grapher/energy-mix?source=low_carbon_energy&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-low-carbon.html
annual-percentage-change-nuclear,Annual percentage change in nuclear energy generation,/grapher/energy-mix?source=nuclear&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-nuclear.html
annual-percentage-change-renewables,Annual percentage change in renewable energy generation,/grapher/energy-mix?source=renewables&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-renewables.html
annual-percentage-change-solar,Annual percentage change in solar energy generation,/grapher/energy-mix?source=solar&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-solar.html
annual-percentage-change-wind,Annual percentage change in wind energy generation,/grapher/energy-mix?source=wind&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/annual-percentage-change-wind.html
annual-primary-energy-fossil-vs-low-carbon,Year-to-year change in primary energy consumption from fossil fuels vs. low-carbon energy,/grapher/annual-change-primary-energy-fossil-vs-low-carbon,https://archive.ourworldindata.org/20260727-182932/grapher/annual-primary-energy-fossil-vs-low-carbon.html
carbon-intensity-vs-gdp,Carbon intensity vs. GDP per capita,/grapher/carbon-intensity-vs-gdp-tes,https://archive.ourworldindata.org/20260729-153957/grapher/carbon-intensity-vs-gdp.html
change-energy-consumption,Annual change in primary energy consumption,/grapher/energy-mix?source=total&metric=annual_change_pct,https://archive.ourworldindata.org/20260727-131016/grapher/change-energy-consumption.html
co2-per-unit-energy,Carbon intensity of energy,/grapher/energy-mix?source=total&metric=carbon_intensity,https://archive.ourworldindata.org/20260727-182932/grapher/co2-per-unit-energy.html
coal-energy-share,Share of primary energy consumption from coal,/grapher/energy-mix?source=coal&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/coal-energy-share.html
coal-proved-reserves,Coal reserves,/grapher/fossil-fuels?fuel=coal&metric=reserves&per_capita=total,https://archive.ourworldindata.org/20260727-165533/grapher/coal-proved-reserves.html
electricity-as-a-share-of-primary-energy,Electricity as a share of primary energy,/grapher/electricity-share-of-primary-energy-tes,https://archive.ourworldindata.org/20260727-182932/grapher/electricity-as-a-share-of-primary-energy.html
energy-consumption-by-source-and-country,Energy consumption by source,/grapher/energy-mix?source=total&metric=by_source,https://archive.ourworldindata.org/20260727-165533/grapher/energy-consumption-by-source-and-country.html
energy-intensity,Energy intensity,/grapher/energy-intensity-tes,https://archive.ourworldindata.org/20260727-182932/grapher/energy-intensity.html
energy-intensity-vs-gdp,Energy intensity vs. GDP per capita,/grapher/energy-intensity-vs-gdp-tes,https://archive.ourworldindata.org/20260730-020804/grapher/energy-intensity-vs-gdp.html
fossil-fuels-share-energy,Share of primary energy consumption from fossil fuels,/grapher/energy-mix?source=fossil_fuels&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/fossil-fuels-share-energy.html
gas-share-energy,Share of primary energy consumption from gas,/grapher/energy-mix?source=gas&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/gas-share-energy.html
global-energy-consumption-source,Global primary energy consumption by source,/grapher/primary-energy-by-source,https://archive.ourworldindata.org/20260727-170715/grapher/global-energy-consumption-source.html
global-energy-substitution,Global primary energy consumption by source,/grapher/global-primary-energy-by-source,https://archive.ourworldindata.org/20260727-170715/grapher/global-energy-substitution.html
global-primary-energy,Global direct primary energy consumption,/grapher/global-primary-energy-by-source,https://archive.ourworldindata.org/20260727-170715/grapher/global-primary-energy.html
global-primary-energy-share-inc-biomass,Share of global primary energy consumption by source,/grapher/share-of-global-primary-energy-by-source,https://archive.ourworldindata.org/20260727-170715/grapher/global-primary-energy-share-inc-biomass.html
hydro-share-energy,Share of primary energy consumption from hydroelectric power,/grapher/energy-mix?source=hydro&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/hydro-share-energy.html
low-carbon-energy-consumption,Low-carbon energy consumption,/grapher/energy-mix?source=low_carbon_energy&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/low-carbon-energy-consumption.html
low-carbon-share-energy,Share of primary energy consumption from low-carbon sources,/grapher/energy-mix?source=low_carbon_energy&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/low-carbon-share-energy.html
natural-gas-proved-reserves,Gas reserves,/grapher/fossil-fuels?fuel=gas&metric=reserves&per_capita=total,https://archive.ourworldindata.org/20260727-165533/grapher/natural-gas-proved-reserves.html
nuclear-primary-energy,Share of primary energy consumption from nuclear,/grapher/energy-mix?source=nuclear&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/nuclear-primary-energy.html
oil-share-energy,Share of primary energy consumption from oil,/grapher/energy-mix?source=oil&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/oil-share-energy.html
per-capita-consumption-based-co-emissions-vs-per-capita-energy-consumption,Per capita CO₂ emissions vs. per capita energy consumption,/grapher/per-capita-co2-vs-per-capita-energy-tes,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-consumption-based-co-emissions-vs-per-capita-energy-consumption.html
per-capita-energy-consumption-from-solar-and-wind,Per capita energy consumption from solar and wind,/grapher/energy-mix?source=solar_and_wind&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-energy-consumption-from-solar-and-wind.html
per-capita-energy-source-stacked,"Per capita energy from fossil fuels, nuclear and renewables",/grapher/per-capita-energy-from-fossil-nuclear-renewables,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-energy-source-stacked.html
per-capita-energy-stacked,Per capita primary energy consumption by source,/grapher/per-capita-primary-energy-by-source,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-energy-stacked.html
per-capita-energy-use,Energy use per person,/grapher/energy-mix?source=total&metric=per_capita,https://archive.ourworldindata.org/20260727-131016/grapher/per-capita-energy-use.html
per-capita-hydro,Per capita energy consumption from hydropower,/grapher/energy-mix?source=hydro&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-hydro.html
per-capita-low-carbon-energy,Per capita consumption of low-carbon energy,/grapher/energy-mix?source=low_carbon_energy&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-low-carbon-energy.html
per-capita-low-carbon-vs-gdp,Per capita consumption of low-carbon energy vs. GDP per capita,/grapher/per-capita-low-carbon-energy-vs-gdp-tes,https://archive.ourworldindata.org/20260729-153957/grapher/per-capita-low-carbon-vs-gdp.html
per-capita-nuclear,Per capita energy consumption from nuclear,/grapher/energy-mix?source=nuclear&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-nuclear.html
per-capita-renewables,Per capita energy consumption from renewables,/grapher/energy-mix?source=renewables&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-renewables.html
per-capita-solar,Per capita energy consumption from solar,/grapher/energy-mix?source=solar&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-solar.html
per-capita-wind,Per capita energy consumption from wind,/grapher/energy-mix?source=wind&metric=per_capita,https://archive.ourworldindata.org/20260727-182932/grapher/per-capita-wind.html
percentage-change-energy-by-source,Year-to-year percentage change in primary energy consumption,/grapher/annual-percentage-change-primary-energy-by-source,https://archive.ourworldindata.org/20260727-182932/grapher/percentage-change-energy-by-source.html
primary-energy-cons,Primary energy consumption,/grapher/energy-mix?source=total&metric=total,https://archive.ourworldindata.org/20260727-131016/grapher/primary-energy-cons.html
primary-energy-consumption-by-region,Primary energy consumption by world region,/grapher/energy-mix?source=total&metric=total,https://archive.ourworldindata.org/20260727-131016/grapher/primary-energy-consumption-by-region.html
primary-energy-consumption-by-source,Primary direct energy consumption by source,/grapher/primary-energy-by-source,https://archive.ourworldindata.org/20260727-165533/grapher/primary-energy-consumption-by-source.html
primary-energy-consumption-from-solar,Primary energy consumption from solar,/grapher/energy-mix?source=solar&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-consumption-from-solar.html
primary-energy-consumption-from-solar-and-wind,Primary energy consumption from solar and wind,/grapher/energy-mix?source=solar_and_wind&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-consumption-from-solar-and-wind.html
