sector,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
wind,18.4,26.3,35.4,58.8,73.9,72.5,97.8,83.3,78.3,83.3,111.1,119.7,123.5,133.4,132.7,142.7
solar,10.7,15.3,21.6,37.5,60.5,63.6,102.0,160.1,144.0,120.4,147.8,176.6,145.9,180.8,143.5,141.0
biofuels,3.9,9.8,26.3,26.4,17.6,9.4,10.1,10.5,7.7,5.1,5.5,3.6,2.1,3.3,3.3,3.0
biomass_and_waste,7.9,9.3,12.0,15.9,16.4,13.4,17.3,20.9,15.4,14.6,13.1,10.4,15.2,7.4,11.5,11.2
small_hydro,2.8,7.5,6.8,6.5,7.6,6.0,8.2,7.7,6.3,5.7,7.4,4.2,4.3,4.0,2.3,2.5
geothermal,1.1,0.8,1.3,1.7,1.7,2.5,2.8,3.8,1.7,2.4,2.9,2.5,2.7,2.4,2.5,1.2
marine,0.0,0.1,0.1,0.7,0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.2
