participant,conflict_name,years,participant_correction,participant_new
Austria,Serbo-Bulgarian War,1885-1886,,Austria
Austria,Italian Revolts,1820-1849,,Austria
Austria,Austro-Prussian War,1866-1866,,Austria
Austria,Egyptian War,1839-1841,,Austria
Austria,Italian Unification,1859-1859,,Austria
Austria,Crimean War,1853-1856,,Austria
Austria,Austro-Sardinian War,1848-1849,,Austria
Austria,Neopolitan War,1815-1815,,Austria
Austria,Napoleonic War,1803-1815,,Austria
Austria,Roman Republic War,1848-1849,,Austria
Austria,Ottoman War,1787-1792,,Austria
Austria,Brabant Revolt,1789-1790,,Austria
Austria,French Revolution,1792-1802,,Austria
Bali,Bali War,1839-1849,,Bali
Baluchis,Sind War,1843-1843,,Baluchis
Bambara,Tukulor War,1810-1810,,Bambara
Bantam,Bantam Conquest,1808-1808,,Bantam
Bantu,Zulu Expansion,1807-1828,,Bantu
Bantu,Zulu Wars,1818-1828,,Bantu
Bantu,Boer War,1793-1795,,Bantu
Bantu,Bantu-Boer War,1834-1837,,Bantu
Basuto,Basuto Wars,1858-1871,,Basuto
Basuto,Gun War,1880-1881,,Basuto
Batetela,Batetela War,1897-1900,,Batetela
Belgium,Slave Wars,1885-1898,,Belgium
Belgium,World War I,1914-1918,,Belgium
Belgium,World War II,1939-1945,,Belgium
Belgium,Belgian Revolt,1830-1833,,Belgium
Belgium,Batetela War,1897-1900,,Belgium
Berbers,Riff War,1893-1893,,Berbers
Berbers,Riff War,1912-1926,,Berbers
Bhurtpore,Bhurtpore War,1825-1826,,Bhurtpore
Bhutan,Bhutan War,1865-1865,,Bhutan
Biafra,Biafran War,1967-1970,,Biafra
Boer,Boer War I,1880-1881,,Boer
Boer,Boer War II,1899-1902,,Boer
Boer,Zulu-Boer War,1838-1840,,Boer
Boer,Boers War III,1914-1914,,Boer
Boer,Boer War,1793-1795,,Boer
Boer,Boer War,1799-1801,,Boer
Boer,Bantu-Boer War,1834-1837,,Boer
Boers,Boer Civil War,1862-1864,,Boers
Boers,Xhosa War,1811-1819,,Boers
Boers,Natal War,1842-1843,,Boers
Boers,Basuto Wars,1858-1871,,Boers
Bolivar,Bolivar's Wars,1811-1824,,Bolivar
Bolivia,Peruvian-Bolivian War,1841-1841,,Bolivia
Bolivia,Peru-Bolivia Confed,1836-1839,,Bolivia
Bolivia,Peruvian War,1827-1829,,Bolivia
Bolivia,Chaco War,1928-1935,,Bolivia
Bolivia,War of the Pacfic,1879-1884,,Bolivia
Bornu,Fulani Wars,1804-1810,,Bornu
Bornu,Bornu Rebellion,1893-1893,,Bornu
Brazil,Naval Rebellion,1893-1895,,Brazil
Brazil,Lopez War,1864-1870,,Brazil
Brazil,Argentine-Brazil War,1825-1828,,Brazil
Brazil,Rosas War,1843-1852,,Brazil
Brazil,World War II,1939-1945,,Brazil
Britain,Ashanti War,1821-1826,,Britain
Britain,Pirate War,1837-1860,,Britain
Britain,Malakand War,1896-1897,,Britain
Britain,Portuguese Civil War,1820-1834,,Britain
Britain,Zanzibar Rebellion,1896-1896,,Britain
Britain,Tirah War,1897-1898,,Britain
Britain,Greek Revolt,1821-1832,,Britain
Britain,Arab- Israeli War,1945-1948,,Britain
Britain,Sikh War,1848-1849,,Britain
Britain,Ashanti War,1895-1896,,Britain
Britain,Fulani Wars,1897-1903,,Britain
Britain,Afghan War,1838-1842,,Britain
Britain,Matabele Revolt,1896-1896,,Britain
Britain,Crimean War,1853-1856,,Britain
Britain,Great Mutiny,1857-1858,,Britain
Britain,Burmese Rebellion,1945-1946,,Britain
Britain,British Occupation,1881-1882,,Britain
Britain,Mahdist War,1881-1899,,Britain
Britain,Maratha War,1802-1805,,Britain
Britain,Boer War I,1880-1881,,Britain
Britain,Burmese War,1885-1895,,Britain
Britain,Miguelite War,1828-1834,,Britain
Britain,Zulu War,1878-1879,,Britain
Britain,Afghan War,1878-1880,,Britain
Britain,Napoleonic War,1803-1815,,Britain
Britain,Malaysian Revolution,1947-1960,,Britain
Britain,Slave Wars,1885-1898,,Britain
Britain,Zulu Rebellion,1887-1887,,Britain
Britain,Carlist War,1834-1839,,Britain
Britain,Bhurtpore War,1825-1826,,Britain
Britain,Mombassa War,1824-1828,,Britain
Britain,Burmese War,1852-1853,,Britain
Britain,Matabele War,1893-1893,,Britain
Britain,Anglo-Burmese War,1823-1826,,Britain
Britain,Ashanti War,1873-1874,,Britain
Britain,French Revolution,1792-1802,,Britain
Britain,Uganda Mutiny,1897-1901,,Britain
Britain,Boxer Rebellion,1900-1901,,Britain
Britain,Anglo-Abyssinian War,1867-1868,,Britain
Britain,World War II,1939-1945,,Britain
Britain,Afghan War,1856-1857,,Britain
Britain,Natal War,1842-1843,,Britain
Britain,Mau Mau War,1952-1956,,Britain
Britain,Cypriot War,1952-1959,,Britain
Britain,Sikh War,1845-1846,,Britain
Britain,World War I,1914-1918,,Britain
Britain,Rosas War,1843-1852,,Britain
Britain,Ulster Rebellion,1969-1987,,Britain
Britain,Irish Civil War,1916-1921,,Britain
Britain,Indonesian War,1810-1811,,Britain
Britain,Afghan War,1919-1919,,Britain
Britain,Libyan Revolt,1949-1951,,Britain
Britain,Waziristan Revolt,1919-1919,,Britain
Britain,Iraq Revolt,1920-1920,,Britain
Britain,Mysore,1799-1799,,Britain
Britain,Egyptian Rebellion,1805-1811,,Britain
Britain,Sind War,1843-1843,,Britain
Britain,Arab revolt,1936-1939,,Britain
Britain,Boer War II,1899-1902,,Britain
Britain,Boers War III,1914-1914,,Britain
Britain,Opium War,1839-1842,,Britain
Britain,War of 1812,1812-1814,,Britain
Britain,Opium War,1856-1860,,Britain
Britain,Arabian War,1839-1845,,Britain
Britain,Bhutan War,1865-1865,,Britain
Britain,Somalia War,1899-1920,,Britain
Britain,Maratha War,1817-1818,,Britain
Britain,Sri Lanka War,1795-1796,,Britain
Britain,Arab-Israeli War,1956-1956,,Britain
Britain,Egyptian War,1839-1841,,Britain
Britain,Nigerian War,1903-1904,,Britain
Britain,Iranian Revolt,1905-1921,,Britain
Britain,Gun War,1880-1881,,Britain
Britain,Irish Rebellion,1795-1798,,Britain
Britain,Nigerian War,1906-1906,,Britain
Britain,Algerian War,1815-1824,,Britain
Britain,Falklands War,1982-1982,,Britain
Britain,Mysore,1789-1792,,Britain
Britain,Gurkha War,1814-1816,,Britain
Britain,Kaffir Wars,1846-1878,,Britain
Bulgaria,Serbo-Bulgarian War,1885-1886,,Bulgaria
Bulgaria,Balkan War II,1913-1913,,Bulgaria
Bulgaria,World War II,1939-1945,,Bulgaria
Bulgaria,Russo-Turkish War II,1876-1878,,Bulgaria
Bulgaria,Balkan War I,1912-1913,,Bulgaria
Bulgaria,World War I,1914-1918,,Bulgaria
Burma,Burmese Civil War,1838-1845,,Burma
Burma,Burmese War,1852-1853,,Burma
Burma,Burmese Revolution,1948-1987,,Burma
Burma,Assam War,1819-1822,,Burma
Burma,Arakan Revolt,1811-1815,,Burma
Burma,Sino-Burmese War,1956-1956,,Burma
Burma,Burmese War,1885-1895,,Burma
Burma,Anglo-Burmese War,1823-1826,,Burma
C Amer Confed,C Amer Confederation,1839-1840,,C Amer Confed
Cambodia,Vietnam War,1841-1845,,Cambodia
Cambodia,Cambodian War,1978-1987,,Cambodia
Cambodia,Cambodian War I,1831-1834,,Cambodia
Cambodia,Cambodian Civil War,1970-1975,,Cambodia
Cambodia,Indochina War,1950-1954,,Cambodia
Cambodia,Cambodian Rebellion,1812-1812,,Cambodia
Cambodia,Cambodian Terror,1975-1978,,Cambodia
Cambodia,Thailand War,1964-1987,,Cambodia
Cambodia,Cambodian Revolt,1866-1867,,Cambodia
Cameroon,Cameroon Rebellion,1962-1971,,Cameroon
Cameroon,Cameroon Rebellion,1956-1959,,Cameroon
Canada,Riel Rebellion,1869-1870,,Canada
Canada,World War I,1914-1918,,Canada
Canada,Riel Rebellion,1885-1885,,Canada
Canada,World War II,1939-1945,,Canada
Carlists,Carlist War,1834-1839,,Carlists
Chad,Chad War,1965-1987,,Chad
Chad,Chad-French conquest,1899-1900,,Chad
Chile,Peru-Bolivia Confed,1836-1839,,Chile
Chile,War of the Pacfic,1879-1884,,Chile
Chile,Chilean Spanish,1865-1866,,Chile
China,Sino-Indian,1962-1963,,China
China,Indochina War,1946-1954,,China
China,Opium War,1839-1842,,China
China,Sino-Vietnamese War,1979-1987,,China
China,Sino-Turkomen War,1847-1847,,China
China,Tibet War,1956-1959,,China
China,Taiping Rebellion,1850-1881,,China
China,Boxer Rebellion,1900-1901,,China
China,Chinese Revolution,1911-1948,,China
China,Manchurian War,1931-1939,,China
China,Sino-Burmese War,1956-1956,,China
China,Vietnam War,1956-1975,,China
China,Korean Civil War,1882-1900,,China
China,Sino-French War,1884-1885,,China
China,Sino-Taiwanese War,1948-1965,,China
China,Kashgari War,1825-1831,,China
China,Cultural revolution,1966-1977,,China
China,Korean War,1950-1953,,China
China,White Lotus War,1796-1804,,China
China,World War II,1939-1945,,China
China,Tibet War,1959-1974,,China
China,Sino-Japanese,1894-1895,,China
China,Opium War,1856-1860,,China
China,Communist Terror,1950-1958,,China
Coastals,Gold Coast War,1806-1807,,Coastals
Colombia,Colombian Civil War,1958-1987,,Colombia
Colombia,Panamarian Revolution,1903-1903,,Colombia
Colombia,Ecuador-Colombia War,1863-1863,,Colombia
Colombia,Colombian Revolution,1948-1958,,Colombia
Colombia,Colombian Civil War,1860-1861,,Colombia
Cuba,Ogaden War,1964-1987,,Cuba
Cuba,Nicaragua Insurgency,1981-1987,,Cuba
Cuba,US Intervention,1912-1919,,Cuba
Cuba,Mozambique War,1975-1987,,Cuba
Cuba,Ten Years War,1868-1878,,Cuba
Cuba,Angolan War,1975-1987,,Cuba
Cuba,Eritrean War,1961-1987,,Cuba
Cuba,Cuban revolution,1956-1959,,Cuba
Cuba,Cuban revolution,1895-1898,,Cuba
Cuba,Ethiopian War,1974-1987,,Cuba
Cyprus,Cypriot War,1974-1974,,Cyprus
Czechoslavakia,Hungarian War,1919-1920,,Czechoslavakia
Dahomey,Dahomey Revolt,1963-1972,,Dahomey
Dahomey,Dahomey War,1892-1892,,Dahomey
Dahomey,Dahomey War,1889-1890,,Dahomey
Dahomey,Amazon War,1818-1858,,Dahomey
Denmark,Russo-Swedish War,1788-1790,,Denmark
Denmark,Second Schleswig War,1864-1864,,Denmark
Denmark,World War II,1939-1945,,Denmark
Denmark,First Schleswig War,1848-1850,,Denmark
Druse,Druse Revolt,1925-1927,,Druse
Druse,Syrian Revolt,1953-1954,,Druse
Ecuador,Ecuador-Colombia War,1863-1863,,Ecuador
Ecuador,Peruvian War,1827-1829,,Ecuador
Egypt,Arab-Israeli War,1948-1949,,Egypt
Egypt,British Occupation,1881-1882,,Egypt
Egypt,Red Sea War,1865-1875,,Egypt
Egypt,Yemen War,1961-1970,,Egypt
Egypt,Sudan War,1871-1875,,Egypt
Egypt,Six Day War,1967-1967,,Egypt
Egypt,Yom Kippur War,1973-1973,,Egypt
Egypt,Upper Nile War,1874-1879,,Egypt
Egypt,Abyssinian War,1875-1879,,Egypt
Egypt,Arab-Israeli War,1956-1956,,Egypt
Egypt,Egyptian Turkish War,1786-1786,,Egypt
Egypt,Mahdist War,1881-1899,,Egypt
Egypt,Egyptian War,1839-1841,,Egypt
Egypt,Wahhabi War,1811-1818,,Egypt
Egypt,Egyptian War,1832-1833,,Egypt
Egypt,Sudan Conquest,1820-1839,,Egypt
Egypt,Greek Revolt,1821-1832,,Egypt
Egypt,Egyptian Rebellion,1805-1811,,Egypt
El salvador,El Salvador Civil War,1979-1987,,El salvador
Eritrea,Eritrean War,1961-1987,,Eritrea
Ethiopia,Kwara War,1841-1847,,Ethiopia
Ethiopia,Italo-Abyssinian War,1895-1896,,Ethiopia
Ethiopia,Abyssinian War,1875-1879,,Ethiopia
Ethiopia,Eritrean War,1961-1987,,Ethiopia
Ethiopia,Abyssinian Civil War,1868-1872,,Ethiopia
Ethiopia,Shoa War,1878-1882,,Ethiopia
Ethiopia,Anglo-Abyssinian War,1867-1868,,Ethiopia
Ethiopia,Ethiopian War,1974-1987,,Ethiopia
Ethiopia,Abyssinian Civil War,1854-1856,,Ethiopia
Ethiopia,World War II,1939-1945,,Ethiopia
Ethiopia,Somalia War,1899-1920,,Ethiopia
Ethiopia,Italo-Ethiopian War,1935-1936,,Ethiopia
Ethiopia,Ogaden War,1964-1987,,Ethiopia
Ethiopia,Abyssinian Civil War,1889-1899,,Ethiopia
Ethiopia,Mahdist War,1881-1899,,Ethiopia
Finland,Russo-Finnish War,1939-1940,,Finland
Finland,World War II,1939-1945,,Finland
Fox/Sac,Black Hawk War,1832-1832,,Fox/Sac
France,French Intervention,1824-1847,,France
France,Algerian War,1954-1962,,France
France,Chad-French conquest,1899-1900,,France
France,Tuareg War,1893-1893,,France
France,Madagascar Revolution,1947-1948,,France
France,Tunis War,1881-1881,,France
France,Franco-Spanish War,1821-1823,,France
France,Moroccan Rebellion,1953-1955,,France
France,Roman Republic War,1848-1849,,France
France,French Congo,1905-1905,,France
France,Indochina War,1946-1954,,France
France,Franco-Mexican War,1862-1867,,France
France,West Indies,1798-1800,,France
France,Franco-Prussian War,1870-1871,,France
France,World War I,1914-1918,,France
France,Indochina War,1950-1954,,France
France,Dahomey War,1892-1892,,France
France,Dahomey War,1889-1890,,France
France,Madagascar War,1883-1885,,France
France,Papal States,1867-1870,,France
France,Chad War,1965-1987,,France
France,Napoleonic War,1803-1815,,France
France,Franco-Mexican War,1838-1839,,France
France,Greek Revolt,1821-1832,,France
France,Algerian Revolt,1962-1965,,France
France,World War II,1939-1945,,France
France,Austrian Civil War,1848-1849,,France
France,Belgian Revolt,1830-1833,,France
France,Haiti Revolution,1791-1822,,France
France,Crimean War,1853-1856,,France
France,Algerian War,1830-1847,,France
France,Madagascar War,1894-1905,,France
France,Vietnam War,1851-1895,,France
France,French Revolution,1792-1802,,France
France,Druse Revolt,1925-1927,,France
France,Wadai War,1909-1911,,France
France,Tukulor War,1854-1864,,France
France,Tunisian Revolt,1957-1962,,France
France,Arab-Israeli War,1956-1956,,France
France,Sino-French War,1884-1885,,France
France,Italian Unification,1859-1859,,France
France,Sahara War,1900-1900,,France
France,Riff War,1912-1926,,France
France,Carlist War,1834-1839,,France
France,Mandinga Wars,1885-1898,,France
France,Rosas War,1843-1852,,France
France,Mexican Civil War,1857-1877,,France
France,Cameroon Rebellion,1956-1959,,France
France,Moroccan War,1908-1909,,France
France,Miguelite War,1828-1834,,France
Fulani,Fulani Wars,1804-1810,,Fulani
Fulani,Fulani Wars,1897-1903,,Fulani
Fulani,Fulani War,1790-1801,,Fulani
Georgia,Iranian-Georgian War,1795-1796,,Georgia
Germany,Austro-Prussian War,1866-1866,,Germany
Germany,Napoleonic War,1803-1815,,Germany
Germany,World War II,1939-1945,,Germany
Germany,Franco-Prussian War,1870-1871,,Germany
Germany,Spanish Civil War,1936-1939,,Germany
Germany,World War I,1914-1918,,Germany
Germany,Wahehe War,1891-1893,,Germany
Germany,Second Schleswig War,1864-1864,,Germany
Germany,First Schleswig War,1848-1850,,Germany
Germany,Hottentot Uprising,1903-1908,,Germany
Germany,French Revolution,1792-1802,,Germany
Germany,Arab Revolt,1888-1890,,Germany
Germany,Cameroon Revolt,1905-1907,,Germany
Germany,German Revolt,1847-1848,,Germany
Greece,World War II,1939-1945,,Greece
Greece,Greco-Turkish War,1897-1897,,Greece
Greece,Balkan War II,1913-1913,,Greece
Greece,Greek Revolution,1862-1862,,Greece
Greece,Cypriot War,1952-1959,,Greece
Greece,Greek Civil War,1944-1949,,Greece
Greece,Cypriot War,1963-1964,,Greece
Greece,Balkan War I,1912-1913,,Greece
Greece,Greco-Turkish War,1919-1922,,Greece
Greece,Greek Revolt,1821-1832,,Greece
Greece,World War I,1914-1918,,Greece
Greece,Cretan Insurrection,1866-1868,,Greece
Guatemala,Guatemalan Rebellion,1960-1987,,Guatemala
Guinea-Bissau,Guinea-Bissau War,1962-1974,,Guinea-Bissau
Haiti,US Intervention,1912-1919,,Haiti
Haiti,Santo Domingo,1844-1844,,Haiti
Hausa,Fulani Wars,1804-1810,,Hausa
Hausa,Fulani War,1790-1801,,Hausa
Herzegovina,Herzegovina War,1860-1862,,Herzegovina
Hindus,Indian Civil War,1947-1948,,Hindus
Honduras,Central American War,1980-1987,,Honduras
Honduras,Honduran War,1907-1907,,Honduras
Honduras,Honduran Rebellion,1980-1987,,Honduras
Honduras,Honduran Civil War,1909-1911,,Honduras
Honduras,US Intervention,1912-1919,,Honduras
Hungary,Hungarian War,1919-1920,,Hungary
Hungary,World War II,1939-1945,,Hungary
Hungary,Hungarian Revolt,1956-1956,,Hungary
Hutu,Burundi Terror,1970-1972,,Hutu
Hutu,Rwanda Civil War,1959-1961,,Hutu
India,Kashmir War,1947-1949,,India
India,Sino-Indian,1962-1963,,India
India,Indo-Pakistani War,1971-1971,,India
India,Punjab War,1799-1802,,India
India,Nepal Rebellion,1953-1953,,India
India,Great Mutiny,1857-1858,,India
India,Indo-Pakistani War,1947-1948,,India
India,Nagaland War,1954-1987,,India
Indonesia,Indonesian War,1963-1966,,Indonesia
Indonesia,Java Revolt,1849-1849,,Indonesia
Indonesia,Indonesia Revolution,1926-1927,,Indonesia
Indonesia,Bantam Conquest,1808-1808,,Indonesia
Indonesia,Great Java War,1825-1830,,Indonesia
Indonesia,Achinese War,1900-1908,,Indonesia
Indonesia,Timor War,1975-1987,,Indonesia
Indonesia,Communist Revolt,1965-1965,,Indonesia
Indonesia,Indonesian War,1945-1949,,Indonesia
Indonesia,Indonesian Civil War,1950-1961,,Indonesia
Indonesia,West Irian War,1969-1987,,Indonesia
Iran,Iran-Iraq War,1973-1975,,Iran
Iran,Turko-Persian War,1821-1823,,Iran
Iran,Iranian Revolution,1979-1987,,Iran
Iran,Iran revolt,1945-1946,,Iran
Iran,Iran-Iraq War,1969-1970,,Iran
Iran,Iranian-Afghan War,1816-1816,,Iran
Iran,Kurdish Revolt,1925-1932,,Iran
Iran,Afghan War,1836-1838,,Iran
Iran,Afghan Wars,1798-1798,,Iran
Iran,Iran-Iraq War,1980-1987,,Iran
Iran,World War II,1939-1945,,Iran
Iran,Russo-Persian War,1825-1828,,Iran
Iran,Iranian Revolt,1905-1921,,Iran
Iran,Iranian-Georgian War,1795-1796,,Iran
Iran,Kurdistan War,1979-1987,,Iran
Iran,Afghan War,1856-1857,,Iran
Iran,Russo-Persian War,1804-1813,,Iran
Iraq,Iran-Iraq War,1980-1987,,Iraq
Iraq,Six Day War,1967-1967,,Iraq
Iraq,Iran-Iraq War,1973-1975,,Iraq
Iraq,World War II,1939-1945,,Iraq
Iraq,Iran-Iraq War,1969-1970,,Iraq
Iraq,Kurdistan War,1979-1987,,Iraq
Iraq,Iraq Revolt,1920-1920,,Iraq
Iraq,Yom Kippur War,1973-1973,,Iraq
Ireland,Irish Rebellion,1795-1798,,Ireland
Ireland,Irish Civil War,1916-1921,,Ireland
Israel,Arab- Israeli War,1945-1948,,Israel
Israel,Lebanese Civil War,1975-1987,,Israel
Israel,Yom Kippur War,1973-1973,,Israel
Israel,Six Day War,1967-1967,,Israel
Israel,Arab-Israeli War,1956-1956,,Israel
Israel,Arab-Israeli War,1948-1949,,Israel
Italy,Trieste Incident,1947-1953,,Italy
Italy,Italian Revolts,1820-1849,,Italy
Italy,Austro-Sardinian War,1848-1849,,Italy
Italy,Somalia War,1899-1920,,Italy
Italy,Italian Unification,1859-1859,,Italy
Italy,Roman Republic War,1848-1849,,Italy
Italy,Austro-Prussian War,1866-1866,,Italy
Italy,Italo-Turkish War,1911-1912,,Italy
Italy,Papal States,1867-1870,,Italy
Italy,World War II,1939-1945,,Italy
Italy,Italo-Abyssinian War,1895-1896,,Italy
Italy,Neopolitan War,1815-1815,,Italy
Italy,Italo-Ethiopian War,1935-1936,,Italy
Italy,Spanish Civil War,1936-1939,,Italy
Italy,World War I,1914-1918,,Italy
Japan,Russo-Japanese War,1904-1905,,Japan
Japan,Sino-Japanese,1894-1895,,Japan
Japan,Boxer Rebellion,1900-1901,,Japan
Japan,World War II,1939-1945,,Japan
Japan,Japanese Civil War,1863-1868,,Japan
Japan,Chinese Revolution,1911-1948,,Japan
Japan,Formosa War,1874-1874,,Japan
Japan,World War I,1914-1918,,Japan
Japan,Satsuma Rebellion,1877-1877,,Japan
Japan,Korean Civil War,1882-1900,,Japan
Japan,Russo-Japanese War,1938-1939,,Japan
Japan,Manchurian War,1931-1939,,Japan
Jordan,Six Day War,1967-1967,,Jordan
Jordan,Arab-Israeli War,1948-1949,,Jordan
Jordan,Yom Kippur War,1973-1973,,Jordan
Jordan,PLO Revolt,1970-1971,,Jordan
Jordan,Syrian-Jordanian War,1970-1970,,Jordan
Kaffirs,Kaffir Wars,1846-1878,,Kaffirs
Kedah,Kedah War,1821-1821,,Kedah
Kenya,Mau Mau War,1952-1956,,Kenya
Khiva,Khivan War,1839-1847,,Khiva
Korea,Korean Civil War,1882-1900,,Korea
Kurds,Kurdish Revolt,1925-1932,,Kurds
Kurds,Kurdistan War,1979-1987,,Kurds
Kwara,Kwara War,1841-1847,,Kwara
Laos,Laotian Revolution,1953-1987,,Laos
Lebanon,Lebanese Civil War,1975-1987,,Lebanon
Lebanon,Lebanese Revolution,1958-1958,,Lebanon
Lebanon,Lebanese Civil War,1969-1969,,Lebanon
Lebanon,Lebanon,1973-1973,,Lebanon
Libya,Chad War,1965-1987,,Libya
Loas,Laos War,1826-1829,,Loas
Madagascar,Madagascar Revolution,1947-1948,,Madagascar
Madagascar,Madagascar Revolution,1863-1863,,Madagascar
Madagascar,Madagascar War,1894-1905,,Madagascar
Madagascar,Madagascar War,1883-1885,,Madagascar
Mahdi,Mahdist War,1881-1899,,Mahdi
Malayia,Indonesian War,1963-1966,,Malayia
Malaysia,Malaysian Rebellion,1968-1987,,Malaysia
Mandinga,Mandinga Wars,1885-1898,,Mandinga
Maori,Maori War,1860-1870,,Maori
Maoris,Maori War,1843-1848,,Maoris
Maratha,Maratha War,1817-1818,,Maratha
Maratha,Maratha War,1802-1805,,Maratha
Mashona,Matabele War,1893-1893,,Mashona
Masud,Waziristan Revolt,1919-1919,,Masud
Matabele,Matabele War,1893-1893,,Matabele
Matabele,Matabele Revolt,1896-1896,,Matabele
Maumee,Maumee War,1790-1794,,Maumee
Merv,Conquest of Merv,1884-1885,,Merv
Mexico,Mexico Revolt,1927-1929,,Mexico
Mexico,Mexican Civil War,1911-1914,,Mexico
Mexico,Franco-Mexican War,1838-1839,,Mexico
Mexico,Mexican War,1846-1848,,Mexico
Mexico,Mexican-Spanish War,1829-1829,,Mexico
Mexico,Mexican Civil War,1857-1877,,Mexico
Mexico,Franco-Mexican War,1862-1867,,Mexico
Mexico,Texas War,1835-1836,,Mexico
Montenegro,Herzegovina War,1860-1862,,Montenegro
Montenegro,Montenegro War,1852-1853,,Montenegro
Montenegro,Serbian War,1877-1878,,Montenegro
Montenegro,Balkan War II,1913-1913,,Montenegro
Montenegro,Balkan War I,1912-1913,,Montenegro
Montenegro,Russo-Turkish War II,1876-1878,,Montenegro
Morocco,Ifni Revolt,1957-1958,,Morocco
Morocco,Moroccan War,1859-1860,,Morocco
Morocco,Moroccan Rebellion,1971-1973,,Morocco
Morocco,Moroccan War,1908-1909,,Morocco
Morocco,Sahara War,1975-1987,,Morocco
Morocco,Algerian-Moroccan War,1963-1964,,Morocco
Moros,Philippine Rebellion,1972-1987,,Moros
Moslems,Religious Wars,1885-1889,,Moslems
Moslems,Indian Civil War,1947-1948,,Moslems
Mozambique,Mozambique Rebellion,1980-1987,,Mozambique
Mozambique,Mozambique War,1962-1974,,Mozambique
Mozambique,Mozambique War,1975-1987,,Mozambique
Muscat,Mombassa War,1824-1828,,Muscat
Mysore,Mysore,1799-1799,,Mysore
Mysore,Mysore,1789-1792,,Mysore
N Vietnam,Vietnam War,1956-1975,,N Vietnam
N. Korea,Korean War,1950-1953,,N. Korea
N. Yemen,Yemen War,1972-1987,,N. Yemen
Nagaland,Nagaland War,1954-1987,,Nagaland
Nepal,Nepal Rebellion,1953-1953,,Nepal
Nepal,Nepal Civil War,1961-1961,,Nepal
Nepal,Gurkha War,1814-1816,,Nepal
Netherlands,Bali War,1839-1849,,Netherlands
Netherlands,Great Java War,1825-1830,,Netherlands
Netherlands,Algerian War,1815-1824,,Netherlands
Netherlands,Pirate War,1837-1860,,Netherlands
Netherlands,Java Revolt,1849-1849,,Netherlands
Netherlands,Indonesian War,1810-1811,,Netherlands
Netherlands,Brabant Revolt,1789-1790,,Netherlands
Netherlands,Indonesian War,1945-1949,,Netherlands
Netherlands,Sri Lanka War,1795-1796,,Netherlands
Netherlands,Belgian Revolt,1830-1833,,Netherlands
Netherlands,Indonesia Revolution,1926-1927,,Netherlands
Netherlands,Achinese War,1900-1908,,Netherlands
Netherlands,World War II,1939-1945,,Netherlands
New Zealand,Maori War,1860-1870,,New Zealand
New Zealand,World War II,1939-1945,,New Zealand
New Zealand,World War I,1914-1918,,New Zealand
New Zealand,Maori War,1843-1848,,New Zealand
Nicaragua,Nicaragua Insurgency,1981-1987,,Nicaragua
Nicaragua,Honduran War,1907-1907,,Nicaragua
Nicaragua,US Intervention,1912-1919,,Nicaragua
Nicaragua,Central American War,1980-1987,,Nicaragua
Niger,Niger Civil War,1961-1974,,Niger
Nigeria,Nigerian War,1903-1904,,Nigeria
Nigeria,Chad War,1965-1987,,Nigeria
Nigeria,Biafran War,1967-1970,,Nigeria
Norway,World War II,1939-1945,,Norway
Oman,Buraimi War,1952-1955,,Oman
Oman,Dhofar Rebellion,1963-1987,,Oman
Oman,Dhofar revolt,1968-1974,,Oman
Pakistan,Kashmir War,1947-1949,,Pakistan
Pakistan,Indo-Pakistani War,1947-1948,,Pakistan
