participant,conflict_name,years,participant_correction,participant_new
Afghanistan,Afghan Wars,1798-1798,,Afghanistan
Afghanistan,Afghan Civil War,1850-1855,,Afghanistan
Afghanistan,Punjab War,1810-1820,,Afghanistan
Afghanistan,Afghan War,1836-1838,,Afghanistan
Afghanistan,Afghan War,1978-1987,,Afghanistan
Afghanistan,Afghan War,1856-1857,,Afghanistan
Afghanistan,Iranian-Afghan War,1816-1816,,Afghanistan
Afghanistan,Afghan War,1919-1919,,Afghanistan
Afghanistan,Afghan Rebellion,1818-1818,,Afghanistan
Afghanistan,Afghan War,1838-1842,,Afghanistan
Afghanistan,Afghan War,1878-1880,,Afghanistan
Afghanistan,Afghanistan Civil War,1863-1879,,Afghanistan
Afridi,Tirah War,1897-1898,,Afridi
Albania,World War II,1939-1945,,Albania
Algeria,Algerian War,1815-1824,,Algeria
Algeria,Algerian-Moroccan War,1963-1964,,Algeria
Algeria,Algerian War,1830-1847,,Algeria
American Indians,Indian Wars,1850-1891,,American Indians
Angola,Angolan Revolt,1902-1902,,Angola
Angola,Angolan War,1961-1974,,Angola
Angola,Angolan War,1975-1987,,Angola
Arabia,Arabian Civil War,1900-1925,,Arabia
Arabs,Arabian War,1839-1845,,Arabs
Arabs,World War I,1914-1918,,Arabs
Arafat,PLO Terror,1983-1987,,Arafat
Argentina,Argentine-Brazil War,1825-1828,,Argentina
Argentina,Falklands War,1982-1982,,Argentina
Argentina,Rosas War,1843-1852,,Argentina
Argentina,Lopez War,1864-1870,,Argentina
Armenians,Armenian Terror,1915-1922,,Armenians
Armenians,Turkish Revolt,1909-1913,,Armenians
Ashanti,Ashanti War,1895-1896,,Ashanti
Ashanti,Ashanti War,1821-1826,,Ashanti
Ashanti,Ashanti War,1873-1874,,Ashanti
Ashanti,Gold Coast War,1806-1807,,Ashanti
Assam,Assam War,1819-1822,,Assam
Australia,Convict Rebellion,1804-1808,,Australia
Australia,World War II,1939-1945,,Australia
Australia,World War I,1914-1918,,Australia
Austria,World War I,1914-1918,,Austria
