variable,source_variable,source_dataset,description,source
other_renewables_energy_per_capita,other_renewables_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from other renewables, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
other_renewables_share_elec,other_renewables_including_bioenergy_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from other renewables including biofuels,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
other_renewables_share_elec_exc_biofuel,other_renewables_excluding_bioenergy_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from other renewables excluding biofuels,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
other_renewables_share_energy,other_renewables__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from other renewables,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
per_capita_electricity,per_capita_total_generation__kwh,electricity_mix,"Electricity generation per capita, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
primary_energy_consumption,primary_energy_consumption__twh,primary_energy_consumption,"Primary energy consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and the U.S. Energy Information Administration (EIA) International Energy Data
renewables_cons_change_pct,renewables__pct_growth,energy_mix,Annual percentage change in renewable energy consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
renewables_cons_change_twh,renewables__twh_growth__equivalent,energy_mix,"Annual change in renewable energy consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
renewables_consumption,renewables__twh__equivalent,energy_mix,"Primary energy consumption from renewables, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
renewables_elec_per_capita,per_capita_renewable_generation__kwh,electricity_mix,"Per capita electricity generation from renewables, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
renewables_electricity,renewable_generation__twh,electricity_mix,"Electricity generation from renewables, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
renewables_energy_per_capita,renewables_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from renewables, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
renewables_share_elec,renewable_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from renewables,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
renewables_share_energy,renewables__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from renewables,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
solar_cons_change_pct,solar__pct_growth,energy_mix,Annual percentage change in solar consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
solar_cons_change_twh,solar__twh_growth__equivalent,energy_mix,"Annual change in solar consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
solar_consumption,solar__twh__equivalent,energy_mix,"Primary energy consumption from solar, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
solar_elec_per_capita,per_capita_solar_generation__kwh,electricity_mix,"Per capita electricity generation from solar, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
solar_electricity,solar_generation__twh,electricity_mix,"Electricity generation from solar, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
solar_energy_per_capita,solar_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from solar, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
solar_share_elec,solar_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from solar,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
solar_share_energy,solar__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from solar,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
wind_cons_change_pct,wind__pct_growth,energy_mix,Annual percentage change in wind consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
wind_cons_change_twh,wind__twh_growth__equivalent,energy_mix,"Annual change in wind consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
wind_consumption,wind__twh__equivalent,energy_mix,"Primary energy consumption from wind, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
wind_elec_per_capita,per_capita_wind_generation__kwh,electricity_mix,"Per capita electricity generation from wind, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
wind_electricity,wind_generation__twh,electricity_mix,"Electricity generation from wind, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
wind_energy_per_capita,wind_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from wind, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
wind_share_elec,wind_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from wind,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
wind_share_energy,wind__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from wind,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
