dataset,element_code,fao_element,owid_element,fao_unit,fao_unit_short_name,owid_unit,owid_unit_short_name,owid_unit_factor,fao_element_description,owid_element_description,owid_aggregation,was_per_capita,make_per_capita
faostat_fbsc,005154,Other uses (non-food),Other uses,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Data refer to quantities of commodities used for non-food purposes, e.g. oil for soap. In order not to distort the picture of the national food pattern quantities of the commodity in question consumed mainly by tourists are included here (see also ""Per capita supply""). In addition, this variable covers pet food. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",,sum,0,1
faostat_fbsc,005131,Processing,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,,,sum,0,0
faostat_qcl,005314,Prod Popultn,,number,No,,,,,,sum,0,0
faostat_qcl,005321,Producing Animals/Slaughtered,Producing or slaughtered animals,thousand head,1000 Head,animals,animals,1000.0,,,sum,0,1
faostat_qcl,005320,Producing Animals/Slaughtered,Producing or slaughtered animals,head,Head,animals,animals,,,,sum,0,1
faostat_qcl,005513,Production,,thousand number,1000 No,number,number,1000.0,"Figures relate to the total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division",,sum,0,0
faostat_qcl,005510,Production,Production,tonnes,tonnes,tonnes,t,,Amount produced in the year,,sum,0,1
faostat_fbsc,005511,Production,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Figures relate to the total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division",,sum,0,0
faostat_fbsc,000674,Protein supply quantity (g/capita/day),Food available for consumption,grams per capita per day,g/capita/day,grams of protein per day,g/day,,,,sum,1,1
faostat_fbsc,005170,Residuals,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,It is defined as the imbalance (positive or negative) in the supply and utilization equation. It occures mainly due to the inconsitencies of national data provided by countries.,,sum,0,0
faostat_fbsc,005527,Seed,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Data include the amounts of the commodity in question set aside for sowing or planting (or generally for reproduction purposes, e.g. sugar cane planted, potatoes for seed, eggs for hatching and fish for bait, whether domestically produced or imported) during the reference period. Account is taken of double or successive sowing or planting whenever it occurs. The data of seed include also, when it is the case, the quantities necessary for sowing or planting the area relating to crops harvested green for fodder or for food.(e.g. green peas, green beans, maize for forage)  Data for seed element are stored in tonnes (t). Whenever official data were not available, seed figures have been estimated either as a percentage of supply (e.g. eggs for hatching) or by multiplying a seed rate with the area under the crop of the subsequent year. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",,sum,0,0
faostat_fbsc,005072,Stock Variation,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Comprises changes in stocks occurring during the reference period at all levels between the production and the retail levels, i.e. it comprises changes in government stocks, in stocks with manufacturers, importers, exporters, other wholesale and retail merchants, transport and storage enterprises and in stocks on farms. In actual fact, however, the information available often relates only to stocks held by governments and even these are not available for a number of countries and important commodities. In the absence of information on opening and closing stocks changes in stocks are also used for shifting production from the calendar year in which it is harvested to the year in which it is consumed. Net increases in stocks (add to stock) are generally indicated by the sign ""-"". No sign denotes net decreases (from stock). Source: FAO Statistics Division",,sum,0,0
faostat_qcl,005112,Stocks,,thousand head,1000 Head,animals,animals,1000.0,"This variable indicates the number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division",,sum,0,0
faostat_qcl,005111,Stocks,,head,Head,animals,animals,,"This variable indicates the number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division",,sum,0,0
faostat_fbsc,005171,Tourist consumption,,thousand tonnes,1000 tonnes,tonnes,t,1000.0,,,sum,0,0
faostat_qcl,005422,Yield,,hectogram,hg,,,,,,sum,0,0
faostat_qcl,005410,Yield,Yield,100 milligrams per animal,100mg/An,kilograms per animal,kg/animal,0.0001,,,,0,0
faostat_qcl,005420,Yield,Yield,hectograms per animal,hg/An,kilograms per animal,kg/animal,0.1,,,,0,0
faostat_qcl,005419,Yield,Yield,hectograms per hectare,hg/ha,tonnes per hectare,t/ha,0.0001,"Harvested production per unit of harvested area for crop products. In most of the cases yield data are not recorded but obtained by dividing the production data by the data on area harvested. Data on yields of permanent crops are not as reliable as those for temporary crops either because most of the area information may correspond to planted area, as for grapes, or because of the scarcity and unreliability of the area figures reported by the countries, as for example for cocoa and coffee. Source: FAO Statistics Division",,,0,0
faostat_qcl,005424,Yield/Carcass Weight,Yield,0.1 grams per animal,0.1g/An,kilograms per animal,kg/animal,0.0001,,,,0,0
faostat_qcl,005417,Yield/Carcass Weight,Yield,hectograms per animal,hg/An,kilograms per animal,kg/animal,0.1,,,,0,0
faostat_rl,005110,Area,Area,thousand hectares,1000 ha,hectares,ha,1000,Extent of surface of land or water. Source: FAO Statistics Division,,sum,0,1
