dataset,element_code,fao_element,owid_element,fao_unit,fao_unit_short_name,owid_unit,owid_unit_short_name,owid_unit_factor,fao_element_description,owid_element_description,owid_aggregation,was_per_capita,make_per_capita
faostat_qcl,005312,Area harvested,Area harvested,hectares,ha,hectares,ha,,"Data refer to the area from which a crop is gathered. Area harvested, therefore, excludes the area from which, although sown or planted, there was no harvest due to damage, failure, etc. It is usually net for temporary crops and some times gross for permanent crops. Net area differs from gross area insofar as the latter includes uncultivated patches, footpaths, ditches, headlands, shoulders, shelterbelts, etc.If the crop under consideration is harvested more than once during the year as a consequence of successive cropping (i.e. the same crop is sown or planted more than once in the same field during the year), the area is counted as many times as harvested. On the contrary, area harvested will be recorded only once in the case of successive gathering of the crop during the year from the same standing crops. With regard to mixed and associated crops, the area sown relating to each crop should be reported separately. When the mixture refers to particular crops, generally grains, it is recommended to treat the mixture as if it were a single crop; therefore, area sown is recorded only for the crop reported. Source: FAO Statistics Division",,sum,0,1
faostat_fbsc,005301,Domestic supply quantity,Domestic supply,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Production + imports - exports + changes in stocks (decrease or increase) = supply for domestic utilization in the new methodology. There are various ways of defining supply and, in fact, various concepts are in use. The elements involved are production, imports, exports and changes in stocks (increase or decrease). There is no doubt that production, imports and stock changes (either decrease or increase in stocks) are genuine supply elements. Source: FAO Statistics Division",,sum,0,1
faostat_fbsc,005911,Export Quantity,Exports,thousand tonnes,1000 tonnes,tonnes,t,1000.0,,,sum,0,1
faostat_fbsc,000684,Fat supply quantity (g/capita/day),Food available for consumption,grams per capita per day,g/capita/day,grams of fat per day,g/day,,,,sum,1,1
faostat_fbsc,005521,Feed,Feed,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Data refer to the quantity of the commodity in question available for feeding to the livestock and poultry during the reference period, whether domestically produced or imported. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",,sum,0,1
faostat_fbsc,005142,Food,Food,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Data refer to the total amount of the commodity available as human food during the reference period. Data include the commodity in question, as well as any commodity derived therefrom as a result of further processing. Food from maize, for example, comprises the amount of maize, maize meal and any other products derived therefrom available for human consumption. Food from milk relates to the amounts of milk as such, as well as the fresh milk equivalent of dairy products. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",,sum,0,1
faostat_fbsc,000664,Food supply (kcal/capita/day),Food available for consumption,kilocalorie per capita per day,kcal/capita/day,kilocalories per day,kcal/day,,,,sum,1,1
faostat_fbsc,000645,Food supply quantity (kg/capita/yr),Food available for consumption,kilograms,kg,kilograms per year,kg,,,,sum,1,1
faostat_fbsc,005611,Import Quantity,Imports,thousand tonnes,1000 tonnes,tonnes,t,1000.0,,,sum,0,1
faostat_qcl,005313,Laying,,thousand head,1000 Head,animals,animals,1000.0,,,sum,0,0
faostat_fbsc,005123,Losses,Waste in Supply Chain,thousand tonnes,1000 tonnes,tonnes,t,1000.0,"Amount of the commodity in question lost through wastage (waste) during the year at all stages between the level at which production is recorded and the household, i.e. storage and transportation. Losses occurring before and during harvest are excluded. Waste from both edible and inedible parts of the commodity occurring in the household is also excluded. Quantities lost during the transformation of primary commodities into processed products are taken into account in the assessment of respective extraction/conversion rates. Distribution wastes tend to be considerable in countries with hot humid climate, difficult transportation and inadequate storage or processing facilities. This applies to the more perishable foodstuffs, and especially to those which have to be transported or stored for a long time in a tropical climate. Waste is often estimated as a fixed percentage of availability, the latter being defined as production plus imports plus stock withdrawals. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",,sum,0,1
faostat_qcl,005318,Milk Animals,,head,Head,,,,,,sum,0,0
